class,n_residues,contour_length_A,mean_ete_A,std_ete_A,max_reach_A,rg_A,helix_fraction,vmf_kappa
F,5,19.0,10.967080479621723,3.8384781678676028,19.0,5.033222956847166,0.02,0.0
F,8,30.4,14.533272668118151,5.086645433841353,27.249886252721534,6.366579406033772,0.02,0.0
F,10,38.0,16.492495119252162,5.772373291738257,30.923428348597803,7.118052168020874,0.02,0.0
F,12,45.599999999999994,18.242816620673327,6.384985817235664,34.20528116376249,7.797435475847171,0.02,0.0
F,15,57.0,20.591260785174057,7.206941274810919,38.608613972201354,8.717797887081348,0.02,0.0
F,18,68.39999999999999,22.698017560983395,7.9443061463441875,42.55878292684386,9.549869109050658,0.02,0.0
F,20,76.0,24.0000000037352,8.400000001307319,45.00000000700349,10.066445913694333,0.02,0.0
F,25,95.0,26.98147512649283,9.44351629427249,50.59026586217405,11.254628677422755,0.02,0.0
F,30,114.0,29.66479394838288,10.382677881934008,55.621488653217895,12.328828005937952,0.02,0.0
H,5,19.0,7.125,0.75,7.875,2.9081632653061225,0.85,15.0
H,8,30.4,11.399999999999999,1.2000000000000002,12.600000000000001,4.653061224489795,0.85,15.0
H,10,38.0,14.25,1.5,15.75,5.816326530612245,0.85,15.0
H,12,45.599999999999994,17.099999999999998,1.8,18.900000000000002,6.979591836734692,0.85,15.0
H,15,57.0,21.375,2.25,23.625,8.724489795918366,0.85,15.0
H,18,68.39999999999999,25.65,2.7,28.35,10.469387755102039,0.85,15.0
H,20,76.0,28.5,3.0,31.5,11.63265306122449,0.85,15.0
H,25,95.0,35.625,3.75,39.375,14.540816326530612,0.85,15.0
H,30,114.0,42.75,4.5,47.25,17.448979591836732,0.85,15.0
M,5,19.0,11.713235828516922,2.9283089571292304,19.0,5.513619500836089,0.4,4.0
M,8,30.4,15.940966370726905,3.985241592681726,25.90407035243122,7.118052168020874,0.4,4.0
M,10,38.0,18.16659083514769,4.541647708786923,29.520710107114997,7.958224257542215,0.4,4.0
M,12,45.599999999999994,20.149577482762925,5.037394370690731,32.74306340948975,8.717797887081346,0.4,4.0
M,15,57.0,22.66550047068303,5.666375117670757,36.83143826485992,9.68159766429763,0.4,4.0
M,18,68.39999999999999,25.17935776099272,6.29483944024818,40.91645636161317,10.677078252031311,0.4,4.0
M,20,76.0,26.645825423930518,6.661456355982629,43.299466313887095,11.254628677422755,0.4,4.0
M,25,95.0,29.886398247974142,7.471599561993536,48.565397152957985,12.53262409340784,0.4,4.0
M,30,114.0,33.01514803853326,8.253787009633315,53.649615562616546,13.784048752090222,0.4,4.0
N,5,19.0,12.6108824723993,3.78326474171979,19.0,6.164414002968976,0.15,2.0
N,8,30.4,17.12465604170589,5.137396812511767,29.968148072985308,7.797435475847171,0.15,2.0
N,10,38.0,19.599180581220555,5.879754174366166,34.29856601713597,8.717797887081348,0.15,2.0
N,12,45.599999999999994,21.799909002177227,6.539972700653168,38.149840753810146,9.549869109050658,0.15,2.0
N,15,57.0,24.738742678878243,7.421622803663473,43.29279968803692,10.677078252031311,0.15,2.0
N,18,68.39999999999999,27.36422493100999,8.209267479302996,47.88739362926748,11.696153213770756,0.15,2.0
N,20,76.0,28.982757410694276,8.694827223208282,50.71982546871498,12.328828005937952,0.15,2.0
N,25,95.0,32.68026942318578,9.804080826955733,57.190471490575106,13.784048752090222,0.15,2.0
N,30,114.0,36.0000000056028,10.80000000168084,63.0000000098049,15.0996688705415,0.15,2.0
P,5,19.0,14.128649611606814,2.825729922321363,19.0,7.54983443527075,0.0,6.0
P,8,30.4,19.766839868319497,3.9533679736639,27.673575815647297,9.549869109050658,0.0,6.0
P,10,38.0,22.899255332278326,4.5798510664556655,32.05895746518966,10.677078252031311,0.0,6.0
P,12,45.599999999999994,25.686984062558835,5.137396812511767,35.96177768758237,11.696153213770756,0.0,6.0
P,15,57.0,29.398770871830834,5.879754174366167,41.158279220563166,13.076696830622021,0.0,6.0
P,18,68.39999999999999,32.69986350326584,6.539972700653168,45.77980890457218,14.324803663575985,0.0,6.0
P,20,76.0,34.72801239508829,6.9456024790176585,48.61921735312361,15.0996688705415,0.0,6.0
P,25,95.0,39.34468477234416,7.868936954468833,55.082558681281824,16.881943016134134,0.0,6.0
P,30,114.0,43.474136116041414,8.694827223208284,60.86379056245798,18.49324200890693,0.0,6.0
