tolerance_A,lp,class,p_reach
8,4.0,H,0.04226666666666667
10,4.0,H,0.18026666666666666
12,4.0,H,0.3344
15,4.0,H,0.5370666666666667
8,4.0,F,0.02698348771647201
10,4.0,F,0.0540676600886025
12,4.0,F,0.08759565042287555
15,4.0,F,0.1548530004027386
8,4.0,M,0.09496802220345119
10,4.0,M,0.16073367925666707
12,4.0,M,0.2368167008567636
15,4.0,M,0.3650898998431278
8,5.0,H,0.039630836047774155
10,5.0,H,0.1760314875135722
12,5.0,H,0.31881107491856675
15,5.0,H,0.5289087947882736
8,5.0,F,0.024620857517318854
10,5.0,F,0.042875865942707356
12,5.0,F,0.07114772514510391
15,5.0,F,0.13443175435311738
8,5.0,M,0.08384739773612027
10,5.0,M,0.14601425405761514
12,5.0,M,0.21770377912199795
15,5.0,M,0.345930406659879
8,6.0,H,0.03681147651915009
10,6.0,H,0.17526052239815942
12,6.0,H,0.3285965624577074
15,6.0,H,0.5426986060359995
8,6.0,F,0.021506352087114336
10,6.0,F,0.0367513611615245
12,6.0,F,0.05998185117967332
15,6.0,F,0.11588021778584393
8,6.0,M,0.08031514581373471
10,6.0,M,0.1395225776105362
12,6.0,M,0.21401693320790216
15,6.0,M,0.33948730009407335
